example 10:
M_2000010_1	其实有两个事儿，呃一个好事儿，一个坏事儿，你先听哪个？
F_2000010_1	坏的。
M_2000010_2	我从陆山的公司辞职了。
F_2000010_2	方圆，你为什么辞职这么大的事儿你不跟我商量，你就决定了？你替朵朵想吗？家里谁挣钱，朵朵学费怎么办？你爸万一再生个病怎么办？我不管你，你去找陆山去。
M_2000010_3	你先别着急啊，我在他，他这没法儿干啊，他那人不正直你知道吗？嗯但是，哎不还有个好事儿呢吗？
F_2000010_3	什么好事儿？
M_2000010_4	我从陆山的公司辞职了，哎，但是我又找到一个新的工作，房地产。
F_2000010_4	地产，你做地产？
M_2000010_5	它，呃它是那个医疗地产，哎我给你解释一下哈。
F_2000010_5	哦我知道你不用解释，就是医院边儿上盖房子，房子边儿上盖医院，为老人服务的，是不是？
M_2000010_6	大概是这意思。
F_2000010_6	你一个月多少钱？四千也算好消息啊？煤气、水电、电话费、物业停车费……嗯行了行了好了不说你了，你也不容易。
M_2000010_7	要不你再猜一回？
F_2000010_7	四万？真是四万！
M_2000010_8	必须四万！怎么啦，不相信我？哎呀真是四万。
F_2000010_8	你先喝杯咖啡，我上去辞个职，老娘不伺候他，坚决不伺候。以后，我就跟我老公混。家庭妇女，我做一个，勤勤恳恳，吃香喝辣。


example 15:
F_2000015_1	永平。
M_2000015_1	你怎么在这儿？要是让朝阳妈看见，肯定又没完没了。
F_2000015_2	我跟你说，我觉得是弟弟干的，上次他来家里，知道晶晶死了，我跟他说，我怀疑晶晶是被朝阳推下去的，当时他就信了，这些天，这些天他情绪都怪怪的，我今天打电话给他，他说，他把朝阳带到冰冻库，用冰水浇他，还想逼他说出事实，我都，我我当时都被吓住了。
M_2000015_2	你给我听清楚，明天我儿子醒了，如果他有什么意外……
F_2000015_3	别，别，我弟弟知道错了，他现在特别后悔，我可以去病房，我可以跟朝阳道歉，你让他不要叫警察。
M_2000015_3	周春红在里面，要是让她知道了，她马上把你弄死。
F_2000015_4	我可以给她跪下来，我可以给她磕头，我就这么一个弟弟，也还这么年轻，他半辈子都在牢里，他不能再进去了，他这么做，不也是为了我们的女儿嘛，你别怪他了，你帮帮他。
M_2000015_4	我不就是想过些安稳的日子嘛，你们两个女人，非要把我折磨死是吗？不该跟她结婚，更不该为了你，去跟她离婚，我真的该死，我真的该死。
F_2000015_5	你怪我？你是在怪我吗？别以为人之初性本善，有的小孩儿他天生就是邪恶的，烧蚂蚁，踢动物，不是吗？我女儿在被杀的那一天起，我就认定，一定是他杀的。
M_2000015_5	就算是他，又能怎么样呢？你还把他杀了？
F_2000015_6	等我找到真相，我一定会杀了他。
M_2000015_6	然后呢？然后你被判死刑，或者警察在抓到你之前，周春红已经把你杀了，她被判死刑，你真的希望这件事情这样发展下去吗？王瑶，难道你不知道我有多爱你吗？如果周春红把你杀了，我是不会放过她的，就算为了我，你就把晶晶的事，就把晶晶的事忘了吧。
F_2000015_7	怎么忘？你告诉我怎么忘？
